z_nm,pos_with_ramp_mV,pos_no_ramp_mV,neg_with_ramp_mV,neg_no_ramp_mV,membrane_mV,fmp_z_with_ramp
-6.96352,8.316208843123439,-5.93541470382855,-90.61220932814203,-76.36058578119001,-41.14800024250928,1.0500573231189092
-6.767365000000001,5.549385271435364,-8.30078509998869,-88.31147569901748,-74.46130532759359,-41.38104521379114,1.0218809204213022
-6.571209999999999,4.894040208960496,-8.554676986935606,-86.57619218118626,-73.12747498529022,-40.84107598611291,1.0085886553496175
-6.375055000000001,6.539525565064644,-6.507738455303521,-84.72974176209684,-71.68247774172858,-39.09510809851604,1.0074712584819683
-6.178900000000001,9.015338269986618,-3.630472574853598,-81.30817423190636,-68.66236338706626,-36.14641798095993,1.0022127152127003
-5.9827449999999995,10.47407944163903,-1.7702782276732245,-76.8409436834934,-64.59658601418113,-33.18343212092718,0.9854850484430988
-5.786590000000001,9.633021377614982,-2.209883116169323,-73.41751314525393,-61.57460865146962,-31.89224588381947,0.9617738315006502
-5.590434999999999,6.614371003841,-4.827080314415378,-72.33264073117903,-60.89118941292269,-32.859134863669034,0.9389576094103111
-5.39428,3.116022998468861,-7.923975144259556,-73.30474991742922,-62.264751774700876,-35.09436345948021,0.9249113304129084
-5.198124999999999,0.4286266037776041,-10.209918363422876,-75.09447883712727,-64.45593386992685,-37.33292611667486,0.9199201602570196
-5.00197,-1.8754237819068065,-12.112515573579335,-76.59443169290128,-66.35733990122868,-39.234927737404014,0.9154492534841729
-4.805815000000001,-4.132188659655044,-13.967827275799639,-77.62561440762431,-67.7899757914796,-40.87890153363962,0.9086348268884796
-4.60966,-5.548188037890769,-14.982373478507395,-78.47455938403574,-69.0403739434189,-42.01137371096315,0.9054819166115731
-4.413505000000001,-5.621684505853116,-14.654416770941799,-79.44100442671885,-70.4082721616301,-42.531344466285944,0.910446848951272
-4.217349999999999,-4.9257512556047125,-13.557030345165423,-80.90238505693257,-72.27110596737181,-42.91406815626861,0.9224418481653504
-4.0211950000000005,-4.243342911948634,-12.473168825981427,-82.8190832985564,-74.58925738452344,-43.531213105252434,0.9368932832254426
-3.8250400000000013,-3.6341601420704692,-11.46253288057532,-84.59876514100593,-76.77039240250092,-44.116462641538114,0.9501757403620339
-3.6288849999999995,-2.794628419353104,-10.221547982330003,-85.63373314302284,-78.20681358004605,-44.21418078118802,0.9605982490792914
-3.4327300000000007,-2.0585876859615735,-9.084054073410526,-85.36693268826866,-78.34146630081969,-43.7127601871151,0.9632072976857284
-3.2365749999999993,-1.8940165339275017,-8.518029745848505,-83.36567620979054,-76.74166299786945,-42.62984637185898,0.9529950428781503
-3.04042,-1.5924454709093645,-7.815005507302414,-79.95350229336564,-73.73094225697255,-40.77297388213748,0.9356996093671347
-2.8442650000000014,0.19492431961205295,-5.626182541253068,-75.87651048309463,-70.05540362222948,-37.84079308174127,0.9229689564120144
-2.64811,4.6221296298187315,-0.7975240555184387,-71.17829500478115,-65.75864131944407,-33.27808268748125,0.9214620979140978
-2.4519550000000008,14.445915159911861,9.427714650102626,-62.99047115007186,-57.972270640262636,-24.272277995080003,0.9305582981417098
-2.2557999999999994,37.67053146944639,33.0537841351651,-41.65430130250088,-37.0375539682196,-1.9918849165272459,0.9410583528774753
-2.0596450000000006,87.11990414856676,82.90460998981352,7.404293418051372,11.619587576804696,47.26209878330911,0.9432311388352147
-1.8634900000000016,170.16481472868304,166.35097374545776,91.87366300984667,95.68750399307201,131.01923886926488,0.9353109261668959
-1.667335,274.9952234653915,271.58283565769403,199.44786127063466,202.86024907833223,237.22154236801313,0.920055031564355
-1.471180000000001,370.4603127408942,367.4493781087248,298.54649479379515,301.55742942596396,334.5034037673443,0.8998519629290025
-1.2750249999999994,427.94161200707396,425.33213055043285,361.47236069964777,364.08184215628955,394.70698635336123,0.8695793293751516
-1.0788700000000007,446.2670092737979,444.0589809926845,388.16840944624767,390.37643772736124,417.21770936002287,0.8230372110344849
-0.8827150000000017,449.5147170190227,447.70814191343743,402.41977921746843,404.22635432305333,425.9672481182454,0.7618551463617678
-0.6865600000000001,462.15924010299386,460.7541181729368,428.47069437688054,429.87581630693825,445.3149672399375,0.6873135305751535
-0.4904050000000012,491.96831256451316,490.9646438099837,473.3209235145452,474.32459226907434,482.64461803952906,0.6036823704815031
-0.29424999999999957,529.1195942564559,528.5173786774545,524.7740538539156,525.3762694329178,526.9468240551861,0.5241618775020596
-0.09809500000000071,552.9474367660166,552.7466743625426,561.1709391181703,561.3717015216452,557.0591879420939,0.45427605359404943
0.09806000000000097,545.6186524129832,545.8193431850381,566.4800153838444,566.2793246117906,556.0493338984143,0.384007591706376
0.2942149999999998,506.99991583789017,507.602059785473,541.7448910891742,541.1427471415924,524.3724034635327,0.3068125576872423
0.49036999999999864,455.17867131616043,456.1822684392694,503.5547496209154,502.55115249780613,479.36671046853775,0.23102151406850602
0.6865250000000003,411.98289805210993,413.3879483507484,471.92406316141887,470.51901286278127,441.9534806067648,0.16671784069593387
0.8826799999999991,388.00853850068813,389.81504197485407,457.4059433249642,455.59943985080037,422.70724091282716,0.11413968367555925
1.0788350000000009,375.6878336005695,377.89579025026325,452.6876161993192,450.4796595496244,414.1877248999438,0.07186928609651816
1.2749899999999996,351.6260249436031,354.23543476882463,433.71848498158107,431.1090751563593,392.6722549625919,0.04355321098369751
1.4711449999999986,291.9372243428208,294.94808734357053,376.2871746704722,373.27631166972236,334.11219950664645,0.031001215423081013
1.6673000000000002,195.26211280986715,198.67442898614485,279.83238413840974,276.4200679621321,237.54724847413848,0.029776196543597647
1.863454999999999,87.875693752354,91.68946310415934,171.9822954799423,168.16852612813705,129.9289946161482,0.03235427131955092
2.0596100000000006,1.3897352312028346,5.604957758536396,85.09518532794571,80.87996280061208,43.24246027957423,0.03458473650141403
2.2557649999999994,-50.296817609537484,-45.68014190667598,33.067167680905534,28.450491978043985,-8.614824964315996,0.03648333369688825
2.4519199999999985,-73.53591141618993,-68.51778253780047,9.549656650868455,4.531527772478993,-31.993127382660738,0.03803137656905854
2.648075,-82.39934284447938,-76.97976079056201,0.48559961079088193,-4.933982443126519,-40.95687161684427,0.03914688603549136
2.8442299999999987,-86.70872099141272,-80.88768576196733,-4.123315523118154,-9.944350752563505,-45.41601825726542,0.04081235806341406
3.0403850000000006,-89.88061551716196,-83.6581271121887,-7.800856373890487,-14.023344778863787,-48.840735945526234,0.043623829924873306
3.2365399999999993,-92.47019202267512,-85.84625044217391,-11.214623480232008,-17.83856506073326,-51.842407751453585,0.04820645728323823
3.432694999999998,-94.30405816838339,-87.27866341235396,-14.501538639002352,-21.526933395031538,-54.40279840369275,0.05628563478612574
3.62885,-95.31127457621757,-87.88442664466044,-17.22749378648888,-24.654341718046062,-56.26938418135325,0.06584208830828002
3.8250050000000018,-95.88515961929104,-88.05685851220606,-18.8824252493328,-26.710726356417887,-57.38379243431197,0.07185287379154402
4.02116,-96.34347453821547,-88.11372025560233,-19.659265191369045,-27.88901947398206,-58.0013698647922,0.07362392224049442
4.217314999999999,-96.6987713584295,-88.06756390028853,-20.390344563968974,-29.02155202210996,-58.544557961199246,0.07571333141797046
4.4134699999999984,-96.91454982096207,-87.88188918729317,-22.002019380366587,-31.034680014035494,-59.45828460066433,0.08347473128619755
4.609624999999997,-97.27610610904638,-87.84199229984965,-24.361937915561295,-33.7960517247582,-60.819022012303925,0.09458593480675193
4.805780000000001,-98.0821896902334,-88.24662270550844,-26.33505229845361,-36.170619283178496,-62.20862099434347,0.10107480676740614
5.0019350000000005,-98.79143801180588,-88.5544178515531,-27.30330519968927,-37.54032535994204,-63.04737160574757,0.1025149123346289
5.198089999999999,-98.59493915557756,-87.95646581979682,-27.40068171765086,-38.039155053431585,-62.9978104366142,0.1041489049188186
5.394244999999998,-97.85511761741692,-86.81519110610826,-26.72001082030734,-37.75993733161598,-62.28756421886212,0.10447779164065371
5.590399999999997,-97.52660857208629,-86.08522888524965,-25.10251902250684,-36.543898709343416,-61.314563797296536,0.09731084795069611
5.786555000000002,-97.3051319283015,-85.46229906593715,-23.257308747246036,-35.10014160961064,-60.281220337773895,0.08828263754060219
5.98271,-96.21493228590509,-83.97064624801251,-22.93491042462313,-35.17919646251568,-59.574921355264095,0.0925517317649813
6.178864999999999,-93.87206001022275,-81.22632079680237,-24.83665644763547,-37.48239566105586,-59.35435822892911,0.11615246674286664
6.3750199999999975,-90.1754014017421,-77.12820901279362,-27.718587188116636,-40.76577957706494,-58.946994294929276,0.15273044215256137
6.571174999999997,-85.50988804643748,-72.06124248196124,-29.58690582405974,-43.03555138853602,-57.54839693524863,0.18905955972313118
6.767330000000001,-81.11825899220537,-67.26816025220083,-29.6210758812431,-43.47117462124738,-55.3696674367241,0.2136676880738022
6.963485,-78.11954109428787,-63.86798917875552,-28.84177919428515,-43.09333110981736,-53.480660144286446,0.22600801366215062
